,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
0,AMD Athlon Gold 7220C,2.4GHz,Up to 3.7GHz,2.0,4.0,FT6,15W,
1,AMD Athlon Silver 7120C,2.4GHz,Up to 3.5GHz,2.0,2.0,FT6,15W,
2,AMD Ryzen 5 7520C,2.8GHz,Up to 4.3GHz,4.0,8.0,FT6,15W,
3,AMD Ryzen 3 7320C,2.4GHz,Up to 4.1GHz,4.0,8.0,FT6,15W,
4,AMD Ryzen Z1,3.2GHz,Up to 4.9GHz,6.0,12.0,,,
5,AMD Ryzen Z1 Extreme,3.3GHz,Up to 5.1GHz,8.0,16.0,,,
6,AMD Ryzen 9 7945HX,2.5GHz,Up to 5.4GHz,16.0,32.0,FL1,55W,
7,AMD Ryzen 9 7845HX,3.0GHz,Up to 5.2GHz,12.0,24.0,FL1,55W,
8,AMD Ryzen 7 7745HX,3.6GHz,Up to 5.1GHz,8.0,16.0,FL1,55W,
9,AMD Ryzen 5 7645HX,4.0GHz,Up to 5.0GHz,6.0,12.0,FL1,55W,
10,AMD Ryzen 9 7940HS,4.0GHz,Up to 5.2GHz,8.0,16.0,"FP7, FP7r2, FP8",35-54W,
11,AMD Ryzen 7 7840HS,3.8GHz,Up to 5.1GHz,8.0,16.0,"FP7, FP7r2, FP8",35-54W,
12,AMD Ryzen 5 7640HS,4.3GHz,Up to 5.0GHz,6.0,12.0,"FP7, FP7r2, FP8",35-54W,
13,AMD Ryzen 7 7735HS,3.2GHz,Up to 4.75GHz,8.0,16.0,FP7,35-54W,
14,AMD Ryzen 5 7535HS,3.3GHz,Up to 4.55GHz,6.0,12.0,FP7,35-54W,
15,AMD Ryzen 9 PRO 7940HS,4.0GHz,Up to 5.2GHz,8.0,16.0,"FP7, FP7r2",45W,
16,AMD Ryzen 7 PRO 7840HS,3.8GHz,Up to 5.1GHz,8.0,16.0,"FP7, FP7r2",45W,
17,AMD Ryzen 7 PRO 7840U,3.3GHz,Up to 5.1GHz,8.0,16.0,"FP7, FP7r2",28W,
18,AMD Ryzen 5 PRO 7540U,3.2GHz,Up to 4.9GHz,6.0,12.0,"FP7, FP7r2",28W,
19,AMD Ryzen 7 7840U,3.3GHz,Up to 5.1GHz,8.0,16.0,"FP7, FP7r2, FP8",28W,
20,AMD Ryzen 5 PRO 7640HS,4.3GHz,Up to 5.0GHz,6.0,12.0,"FP7, FP7r2",45W,
21,AMD Ryzen 5 PRO 7640U,3.5GHz,Up to 4.9GHz,6.0,12.0,"FP7, FP7r2",28W,
22,AMD Ryzen 5 7640U,3.5GHz,Up to 4.9GHz,6.0,12.0,"FP7, FP7r2, FP8",28W,
23,AMD Ryzen 7 PRO 7730U,2.0GHz,Up to 4.5GHz,8.0,16.0,FP6,15W,
24,AMD Ryzen 5 7540U,3.2GHz,Up to 4.9GHz,6.0,12.0,"FP7, FP7r2",28W,
25,AMD Ryzen 5 PRO 7530U,2.0GHz,Up to 4.5GHz,6.0,12.0,FP6,15W,
26,AMD Ryzen 3 7440U,3.0GHz,Up to 4.7GHz,4.0,8.0,"FP7, FP7r2",28W,
27,AMD Ryzen 3 PRO 7330U,2.3GHz,Up to 4.3GHz,4.0,8.0,FP6,15W,
28,AMD Ryzen 7 7736U​,2.7GHz,Up to 4.7GHz,8.0,16.0,FP7,,
29,AMD Ryzen 7 7735U,2.7GHz,Up to 4.75GHz,8.0,16.0,FP7,28W,
30,AMD Ryzen 7 7730U,2.0GHz,Up to 4.5GHz,8.0,16.0,FP6,15W,
31,AMD Ryzen 5 7535U,2.9GHz,Up to 4.55GHz,6.0,12.0,FP7,28W,
32,AMD Ryzen 3 7335U,3.0GHz,Up to 4.3GHz,4.0,8.0,FP7,28W,
33,AMD Ryzen 5 7530U,2.0GHz,Up to 4.5GHz,6.0,12.0,FP6,15W,
34,AMD Ryzen 3 7330U,2.3GHz,Up to 4.3GHz,4.0,8.0,FP6,15W,
35,AMD Ryzen 5 7520U,2.8GHz,Up to 4.3GHz,4.0,8.0,,15W,
36,AMD Ryzen 3 7320U,2.4GHz,Up to 4.1GHz,4.0,8.0,,15W,
37,AMD Ryzen 9 PRO 7945,3.7GHz,Up to 5.4GHz,12.0,24.0,AM5,65W,
38,AMD Ryzen 7 PRO 7745,3.8GHz,Up to 5.3GHz,8.0,16.0,AM5,65W,
39,AMD Ryzen 5 PRO 7645,3.8GHz,Up to 5.1GHz,6.0,12.0,AM5,65W,
40,AMD Ryzen Threadripper PRO 5995WX,2.7GHz,Up to 4.5GHz,64.0,128.0,sWRX8,280W,
41,AMD Ryzen Threadripper PRO 5975WX,3.6GHz,Up to 4.5GHz,32.0,64.0,sWRX8,280W,
42,AMD Ryzen Threadripper PRO 5965WX,3.8GHz,Up to 4.5GHz,24.0,48.0,sWRX8,280W,
43,AMD Ryzen Threadripper PRO 5955WX,4.0GHz,Up to 4.5GHz,16.0,32.0,sWRX8,280W,
44,AMD Ryzen Threadripper PRO 5945WX,4.1GHz,Up to 4.5GHz,12.0,24.0,sWRX8,280W,
45,AMD Ryzen 9 7950X3D,4.2GHz,Up to 5.7GHz,16.0,32.0,AM5,120W,
46,AMD Ryzen 9 7950X,4.5GHz,Up to 5.7GHz,16.0,32.0,AM5,170W,
47,AMD Ryzen 9 7900X3D,4.4GHz,Up to 5.6GHz,12.0,24.0,AM5,120W,
48,AMD Ryzen 9 7900X,4.7GHz,Up to 5.6GHz,12.0,24.0,AM5,170W,
49,AMD Ryzen 9 7900,3.7GHz,Up to 5.4GHz,12.0,24.0,AM5,65W,
50,AMD Ryzen 7 7800X3D,4.2GHz,Up to 5.0GHz,8.0,16.0,AM5,120W,
51,AMD Ryzen 9 5950X,3.4GHz,Up to 4.9GHz,16.0,32.0,AM4,105W,11/5/2020
52,AMD Ryzen 7 7700X,4.5GHz,Up to 5.4GHz,8.0,16.0,AM5,105W,
53,AMD Ryzen 9 5900X,3.7GHz,Up to 4.8GHz,12.0,24.0,AM4,105W,11/5/2020
54,AMD Ryzen 7 7700,3.8GHz,Up to 5.3GHz,8.0,16.0,AM5,65W,
55,AMD Ryzen 9 5900 (OEM Only),3.0GHz,Up to 4.7GHz,12.0,24.0,AM4,65W,1/12/2021
56,AMD Ryzen 7 5800X3D,3.4GHz,Up to 4.5GHz,8.0,16.0,AM4,105W,
57,AMD Ryzen 7 5800X,3.8GHz,Up to 4.7GHz,8.0,16.0,AM4,105W,11/5/2020
58,AMD Ryzen 5 7600X,4.7GHz,Up to 5.3GHz,6.0,12.0,AM5,105W,
59,AMD Ryzen 7 5800 (OEM Only),3.4GHz,Up to 4.6GHz,8.0,16.0,AM4,65W,1/12/2021
60,AMD Ryzen 7 5700X,3.4GHz,Up to 4.6GHz,8.0,16.0,AM4,65W,
61,AMD Ryzen 7 5700G,3.8GHz,Up to 4.6GHz,8.0,16.0,AM4,65W,4/13/2021
62,AMD Ryzen 5 7600,3.8GHz,Up to 5.1GHz,6.0,12.0,AM5,65W,
63,AMD Ryzen 5 5600X3D,3.3GHz,Up to 4.4GHz,6.0,12.0,AM4,105W,
64,AMD Ryzen 5 5600X,3.7GHz,Up to 4.6GHz,6.0,12.0,AM4,65W,11/5/2020
65,AMD Ryzen 9 6980HX,3.3GHz,Up to 5.0GHz,8.0,16.0,FP7,45W,
66,AMD Ryzen 5 5600G,3.9GHz,Up to 4.4GHz,6.0,12.0,AM4,65W,4/13/2021
67,AMD Ryzen 9 3900XT,3.8GHz,Up to 4.7GHz,12.0,24.0,,105W,7/2020
68,AMD Ryzen 9 6980HS,3.3GHz,Up to 5.0GHz,8.0,16.0,FP7,35W,
69,AMD Ryzen 9 6900HX,3.3GHz,Up to 4.9GHz,8.0,16.0,FP7,45W,
70,AMD Ryzen 5 5600,3.5GHz,Up to 4.4GHz,6.0,12.0,AM4,65W,
71,AMD Ryzen 5 5500,3.6GHz,Up to 4.2GHz,6.0,12.0,AM4,65W,
72,AMD Ryzen 7 3800XT,3.9GHz,Up to 4.7GHz,8.0,16.0,AM4,105W,7/2020
73,AMD Ryzen 9 6900HS​,3.3GHz,Up to 4.9GHz,8.0,16.0,,35W,
74,AMD Ryzen 5 4500,3.6GHz,Up to 4.1GHz,6.0,12.0,AM4,65W,
75,AMD Ryzen 7 6800H,3.2GHz,Up to 4.7GHz,8.0,16.0,FP7,45W,
76,AMD Ryzen 7 6800HS,3.2GHz,Up to 4.7GHz,8.0,16.0,FP7,35W,
77,AMD Ryzen 5 3600XT,3.8GHz,Up to 4.5GHz,6.0,12.0,AM4,95W,7/2020
78,AMD Ryzen Threadripper PRO 3995WX,2.7GHz,Up to 4.2GHz,64.0,128.0,sWRX8,280W,7/14/2020
79,AMD Ryzen 7 6800U​,2.7GHz,Up to 4.7GHz,8.0,16.0,FP7,,
80,AMD Ryzen Threadripper PRO 3975WX,3.5GHz,Up to 4.2GHz,32.0,64.0,sWRX8,280W,7/14/2020
81,AMD Ryzen Threadripper PRO 3955WX,3.9GHz,Up to 4.3GHz,16.0,32.0,sWRX8,280W,7/14/2020
82,AMD Ryzen 5 6600H,3.3GHz,Up to 4.5GHz,6.0,12.0,FP7,45W,
83,AMD Ryzen Threadripper PRO 3945WX,4.0GHz,Up to 4.3GHz,12.0,24.0,,280W,7/14/2020
84,AMD Ryzen 5 6600HS​,3.3GHz,Up to 4.5GHz,6.0,12.0,FP7,35W,
85,AMD Ryzen Threadripper 3990X,2.9GHz,Up to 4.3GHz,64.0,128.0,sTRX4,280W,
86,AMD Ryzen 9 5980HX,3.3GHz,Up to 4.8GHz,8.0,16.0,FP6,45+W,1/12/2021
87,AMD Ryzen 9 5980HS,3.0GHz,Up to 4.8GHz,8.0,16.0,FP6,35W,1/12/2021
88,AMD Ryzen 5 6600U,2.9GHz,Up to 4.5GHz,6.0,12.0,FP7,,
89,AMD Ryzen 7 5825U,2.0GHz,Up to 4.5GHz,8.0,16.0,FP6,15W,
90,AMD Ryzen 9 5900HX,3.3GHz,Up to 4.6GHz,8.0,16.0,FP6,45+W,1/12/2021
91,AMD Ryzen Threadripper 3970X,3.7GHz,Up to 4.5GHz,32.0,64.0,sTRX4,280W,11/25/2019
92,AMD Ryzen 9 5900HS,3.0GHz,Up to 4.6GHz,8.0,16.0,FP6,35W,1/12/2021
93,AMD Ryzen 7 5825C,2.0GHz,Up to 4.5GHz,8.0,16.0,FP6,15W,
94,AMD Ryzen 5 5625U,2.3GHz,Up to 4.3GHz,6.0,12.0,FP6,15W,
95,AMD Ryzen Threadripper 3960X,3.8GHz,Up to 4.5GHz,24.0,48.0,sTRX4,280W,11/25/2019
96,AMD Ryzen 7 5800H,3.2GHz,Up to 4.4GHz,8.0,16.0,FP6,45W,1/12/2021
97,AMD Ryzen 5 5625C,2.3GHz,Up to 4.3GHz,6.0,12.0,FP6,15W,
98,AMD Ryzen 7 5800HS,2.8GHz,Up to 4.4GHz,8.0,16.0,FP6,35W,1/12/2021
99,AMD Ryzen 5 5600H,3.3GHz,Up to 4.2GHz,6.0,12.0,FP6,45W,1/12/2021
100,AMD Ryzen 9 3950X,3.5GHz,Up to 4.7GHz,16.0,32.0,AM4,105W,
