,Product_Name,GPU_Chip,Released,Bus,Memory,GPU_clock,Memory_clock,Shaders_TMUs_ROPs
0,Color Emulation Card,CW16800-A,"Aug 4th, 1986",PCI,"32 KB, DRAM, 32 bit",10 MHz,5 MHz,0 / 0 / 0 / 0
1,Graphics Solution,CW16800-A,"Sep 22nd, 1986",PCI,"64 KB, DRAM, 32 bit",10 MHz,5 MHz,0 / 0 / 0 / 0
2,EGA Wonder 800,16899-0,"Nov 16th, 1987",PCI,"256 KB, DRAM, 32 bit",10 MHz,8 MHz,1 / 0 / 0 / 1
3,Graphics Solution Plus,CW16800-B,"Mar 23rd, 1987",PCI,"64 KB, DRAM, 32 bit",10 MHz,5 MHz,0 / 0 / 0 / 0
4,VGA Improved Performance,16899-0,"Sep 28th, 1987",PCI,"256 KB, DRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
5,EGA Wonder 480,16899-0,"Dec 26th, 1988",PCI,"256 KB, DRAM, 32 bit",10 MHz,8 MHz,1 / 0 / 0 / 1
6,EGA Wonder 800+,18800-1,1988,PCI,"256 KB, DRAM, 32 bit",25 MHz,8 MHz,1 / 0 / 0 / 1
7,No graphics cards found. Please change your search criteria.,,,,,,,
8,VGA Wonder,18800-1,"Feb 5th, 1990",PCI,"256 KB, DRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
9,VGA Wonder+,28800-5,"Nov 1st, 1990",PCI,"512 KB, DRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
10,No graphics cards found. Please change your search criteria.,,,,,,,
11,8514-Ultra,Mach8,1992,PCI,"1 MB, VRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
12,Graphics Ultra,Mach8,1992,PCI,"1 MB, VRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
13,Graphics Ultra Pro ISA,Mach32,1992,PCI,"2 MB, DRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
14,Graphics Ultra Pro ISA,Mach32,1992,PCI,"2 MB, DRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
15,Graphics Vantage,Mach8,1992,PCI,"1 MB, DRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
16,Graphics Wonder PCI,Mach32,1992,PCI,"1 MB, DRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
17,Graphics Wonder VLB,Mach32,1992,PCI,"1 MB, DRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
18,VGA Wonder XL24,28800-6,"Mar 16th, 1992",PCI,"1 MB, DRAM, 32 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
19,Graphics Ultra Pro PCI,Mach32,1993,PCI,"1 MB, DRAM, 64 bit",66 MHz,83 MHz,1 / 0 / 0 / 1
20,Graphics Ultra Pro VLB,Mach32,1993,PCI,"1 MB, VRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
21,Graphics Ultra XLR VLB,Mach32,1993,PCI,"1 MB, VRAM, 64 bit",10 MHz,10 MHz,1 / 0 / 0 / 1
22,Playstation GPU 600nm,GTE,"Dec 3rd, 1994",IGP,"1 MB, VRAM, 32 bit",53 MHz,33 MHz,2 / 1 / 3 / 1
23,Graphics Pro Turbo,Mach64,1995,PCI,"2 MB, VRAM, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
24,Graphics Xpression,Mach64,"Nov 1st, 1995",PCI,"2 MB, EDO, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
25,Graphics Xpression ISA,Mach64,1995,PCI,"2 MB, DRAM, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
26,Video Xpression,Mach64,"Oct 23rd, 1995",PCI,"1 MB, EDO, 64 bit",62 MHz,66 MHz,1 / 0 / 0 / 1
27,WinBoost,Mach64,"Nov 1st, 1995",PCI,"2 MB, EDO, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
28,WinCharger,Mach64,"Nov 1st, 1995",PCI,"2 MB, EDO, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
29,WinTurbo,Mach64,1995,PCI,"2 MB, VRAM, 64 bit",40 MHz,40 MHz,1 / 0 / 0 / 1
30,NV1,NV1,"Sep 30th, 1995",PCI,"2 MB, EDO, 64 bit",75 MHz,60 MHz,1 / 0 / 1 / 1
31,STG-2000,NV1,"Sep 30th, 1995",PCI,"1 MB, FPM, 64 bit",75 MHz,50 MHz,1 / 0 / 1 / 1
